wl,n,k
529.382935,4.255962,2.715132
530.977112,4.270156,2.713579
532.571289,4.284727,2.711826
534.165405,4.299637,2.709907
535.759583,4.314853,2.707855
537.353638,4.330344,2.7057
538.947754,4.346076,2.703473
540.54187,4.362021,2.701202
542.135864,4.378147,2.698913
543.729919,4.394426,2.696634
545.323975,4.410831,2.694386
546.917969,4.427334,2.692195
548.511902,4.443911,2.690082
550.105835,4.460535,2.688066
551.699829,4.477182,2.686169
553.293701,4.49383,2.684407
554.887573,4.510473,2.682777
556.481445,4.52718,2.681185
558.075256,4.544028,2.679524
559.669067,4.561097,2.67769
561.262817,4.578462,2.675585
562.856567,4.596195,2.673116
564.450317,4.614367,2.670197
566.044067,4.633043,2.666744
567.637695,4.65229,2.66268
569.231323,4.672173,2.65793
570.825012,4.69275,2.652428
572.418579,4.714081,2.64611
574.012146,4.736225,2.638916
575.605652,4.759236,2.630793
577.199158,4.783169,2.621691
578.792664,4.808078,2.611566
580.386108,4.833997,2.600381
581.979553,4.860789,2.588153
583.572876,4.888213,2.574924
585.16626,4.916039,2.560735
586.759644,4.944046,2.545619
588.352905,4.97202,2.529608
589.946167,4.999764,2.512726
591.539429,5.027085,2.494992
593.132568,5.053798,2.476424
594.725708,5.079728,2.457032
596.318909,5.104711,2.436821
597.911987,5.128582,2.415796
599.505005,5.151193,2.393953
601.098022,5.172393,2.371289
602.69104,5.192043,2.347791
604.283997,5.210006,2.32345
605.876892,5.226151,2.298246
607.469849,5.24035,2.272159
609.062622,5.252497,2.245178
610.655457,5.262662,2.217377
612.24823,5.271,2.188886
613.840942,5.277663,2.15983
615.433655,5.282792,2.130332
617.026306,5.286522,2.100518
618.618958,5.288982,2.070505
620.211548,5.290293,2.040419
621.804077,5.290572,2.010377
623.396545,5.289929,1.980497
624.989014,5.288471,1.950899
626.581421,5.286297,1.921701
628.173767,5.283504,1.893017
629.766113,5.280184,1.864965
631.358398,5.276423,1.83766
632.950623,5.272306,1.811217
634.542847,5.267912,1.785747
636.13501,5.26332,1.761364
637.727173,5.258601,1.738178
639.319214,5.253828,1.7163
640.911255,5.249059,1.695812
642.503235,5.244309,1.676673
644.095154,5.239579,1.658798
645.687073,5.234868,1.642104
647.278931,5.230179,1.626509
648.870728,5.225517,1.611932
650.462463,5.220885,1.598297
652.054138,5.21629,1.585525
653.645813,5.211738,1.573541
655.237427,5.207234,1.562273
656.828979,5.202787,1.551646
658.420471,5.198405,1.541593
660.011902,5.194095,1.532043
661.603394,5.189866,1.522928
663.194702,5.185726,1.514184
664.786011,5.181684,1.505747
666.377319,5.17775,1.497553
667.968506,5.17393,1.489542
669.559692,5.170236,1.481653
671.150757,5.166675,1.473829
672.741821,5.163256,1.466012
674.332825,5.159989,1.458148
675.923767,5.156881,1.45019
677.514648,5.153927,1.442134
679.105469,5.15112,1.433991
680.696289,5.14845,1.425772
682.286987,5.14591,1.417487
683.877686,5.143492,1.409147
685.468323,5.141189,1.400761
687.058899,5.138992,1.392338
688.649353,5.136895,1.383889
690.239868,5.13489,1.375422
691.8302,5.132969,1.366946
693.420532,5.131126,1.358471
695.010864,5.129353,1.350003
696.601074,5.127644,1.341552
698.191223,5.125992,1.333125
699.781311,5.12439,1.32473
701.371338,5.122831,1.316375
702.961304,5.121309,1.308066
704.55127,5.119819,1.299811
706.141113,5.118352,1.291616
707.730896,5.116905,1.283489
709.320679,5.115469,1.275435
710.910339,5.11404,1.26746
712.499939,5.112612,1.259572
714.089478,5.111178,1.251775
715.679016,5.109736,1.244072
717.268433,5.108288,1.23646
718.857788,5.106833,1.228938
720.447144,5.105373,1.221501
722.036316,5.103911,1.214148
723.625488,5.102446,1.206875
725.2146,5.10098,1.199681
726.80365,5.099515,1.192561
728.392639,5.098051,1.185515
729.981567,5.09659,1.178538
731.570374,5.095133,1.17163
733.159119,5.093681,1.164788
734.747864,5.092235,1.158009
736.336487,5.090796,1.151291
737.925049,5.089366,1.144632
739.51355,5.087946,1.13803
741.101929,5.086536,1.131483
742.690308,5.085137,1.124988
744.278625,5.083752,1.118545
745.866821,5.082379,1.11215
747.454956,5.081021,1.105802
749.043091,5.079679,1.099499
750.631104,5.078353,1.093239
752.219055,5.077044,1.08702
753.806885,5.075754,1.080842
755.394653,5.074483,1.074701
756.982361,5.073232,1.068597
758.570007,5.072002,1.062528
760.157593,5.070791,1.056492
761.745117,5.069598,1.05049
763.33252,5.068421,1.044521
764.919861,5.067257,1.038583
766.507141,5.066105,1.032677
768.09436,5.064962,1.026802
769.681458,5.063827,1.020956
771.268494,5.062697,1.015141
772.855469,5.061573,1.009354
774.442322,5.06045,1.003595
776.029175,5.059328,0.997865
777.615845,5.058204,0.992161
779.202515,5.057078,0.986484
780.789124,5.055948,0.980833
782.37561,5.054812,0.975207
783.962036,5.053668,0.969607
785.54834,5.052516,0.96403
787.134644,5.051353,0.958477
788.720825,5.050179,0.952947
790.306885,5.048992,0.94744
791.892883,5.04779,0.941955
793.478821,5.046573,0.936491
795.064636,5.045338,0.931048
796.650452,5.044086,0.925626
798.236145,5.042813,0.920223
799.821716,5.041521,0.91484
801.407227,5.040206,0.909476
802.992676,5.038868,0.904129
804.578003,5.037508,0.898801
806.163208,5.036121,0.89349
807.748413,5.034708,0.888195
809.333496,5.03327,0.882917
810.918518,5.031808,0.877656
812.503418,5.030324,0.872413
814.088257,5.02882,0.867187
815.672974,5.027297,0.861979
817.25769,5.025758,0.856791
818.842163,5.024205,0.851621
820.426636,5.022639,0.846471
822.011047,5.021062,0.841341
823.595398,5.019475,0.836231
825.179565,5.017881,0.831141
826.763672,5.016281,0.826073
828.347778,5.014675,0.821027
829.931641,5.013067,0.816002
831.515503,5.011458,0.810999
833.099243,5.009848,0.806019
834.682922,5.00824,0.801062
836.266479,5.006635,0.796129
837.849915,5.005033,0.791219
839.433289,5.003438,0.786333
841.016602,5.001849,0.781471
842.599792,5.000268,0.776634
844.182922,4.998697,0.771823
845.76593,4.997136,0.767036
847.348816,4.995587,0.762276
848.931641,4.994051,0.757541
850.514343,4.992529,0.752833
852.096985,4.991023,0.748152
853.679504,4.989532,0.743497
855.261902,4.98806,0.73887
856.844238,4.986605,0.734271
858.426453,4.98517,0.729699
860.008606,4.983756,0.725156
861.590637,4.982363,0.720641
863.172546,4.980992,0.716155
864.754395,4.979644,0.711698
866.336121,4.978319,0.70727
867.917786,4.977014,0.70287
869.499329,4.975727,0.698498
871.08075,4.974456,0.694152
872.661987,4.9732,0.689833
874.243286,4.971956,0.68554
875.824402,4.970723,0.681271
877.405457,4.969499,0.677028
878.986328,4.968281,0.672808
880.5672,4.967069,0.668612
882.147827,4.96586,0.664439
883.728516,4.964654,0.660288
885.30896,4.963447,0.656158
886.889343,4.96224,0.65205
888.469727,4.961029,0.647962
890.049927,4.959814,0.643895
891.630005,4.958592,0.639847
893.209961,4.957364,0.635818
894.789734,4.956127,0.631807
896.369507,4.954879,0.627814
897.949219,4.95362,0.623838
899.528687,4.952348,0.61988
901.108215,4.951061,0.615937
902.6875,4.949759,0.61201
904.266724,4.94844,0.608099
905.845825,4.947103,0.604202
907.424805,4.945747,0.60032
909.003723,4.94437,0.596451
910.58252,4.942972,0.592596
912.161133,4.941551,0.588754
913.739746,4.940106,0.584923
915.318176,4.938636,0.581105
916.896484,4.937141,0.577298
918.474731,4.935618,0.573502
920.052856,4.934067,0.569716
921.630737,4.932488,0.56594
923.208679,4.930878,0.562174
924.786438,4.929238,0.558417
926.364075,4.927566,0.554669
927.941589,4.925861,0.550928
929.519043,4.924122,0.547196
931.096313,4.922351,0.543471
932.673523,4.920547,0.539753
934.25061,4.918711,0.536044
935.827515,4.916846,0.532343
937.404419,4.914952,0.528651
938.981079,4.91303,0.524967
940.557617,4.911082,0.521292
942.134155,4.909109,0.517626
943.710449,4.907112,0.513969
945.286743,4.905092,0.510322
946.862915,4.903049,0.506684
948.438843,4.900986,0.503056
950.014771,4.898903,0.499438
951.590454,4.896802,0.495831
953.166138,4.894682,0.492234
954.741577,4.892546,0.488647
956.317017,4.890394,0.485072
957.892273,4.888227,0.481507
959.467407,4.886046,0.477954
961.04248,4.883852,0.474412
962.617371,4.881645,0.470881
964.192078,4.879428,0.467362
965.766785,4.8772,0.463856
967.341309,4.874963,0.460361
968.91571,4.872717,0.456878
970.489929,4.870463,0.453408
972.064148,4.868202,0.449951
973.638184,4.865935,0.446506
975.212036,4.863663,0.443074
976.785828,4.861385,0.439656
978.359497,4.859104,0.43625
979.932922,4.85682,0.432859
981.506348,4.854533,0.42948
983.07959,4.852244,0.426115
984.65271,4.849955,0.422765
986.225708,4.847665,0.419428
987.798523,4.845376,0.416106
989.371277,4.843087,0.412797
990.94397,4.8408,0.409504
992.516418,4.838516,0.406225
994.088745,4.836234,0.402961
995.66095,4.833956,0.399711
997.233032,4.831682,0.396477
998.804993,4.829413,0.393258
1011.491882,4.811328,0.367844
1014.939331,4.806494,0.361119
1018.386108,4.801696,0.354478
1021.832153,4.796933,0.347921
1025.277588,4.792205,0.341452
1028.722168,4.787513,0.335072
1032.166138,4.782855,0.328782
1035.609497,4.778231,0.322585
1039.052002,4.773641,0.316481
1042.494019,4.769086,0.310473
1045.935303,4.764564,0.304561
1049.376099,4.760075,0.298747
1052.816162,4.755619,0.293032
1056.255615,4.751196,0.287418
