wl,n,k
633,2.130194,0
634,2.129881,0
635,2.129569,0
636,2.129259,0
637,2.12895,0
638,2.128644,0
639,2.128339,0
640,2.128036,0
641,2.127734,0
642,2.127434,0
643,2.127136,0
644,2.12684,0
645,2.126545,0
646,2.126252,0
647,2.125961,0
648,2.125671,0
649,2.125383,0
650,2.125097,0
651,2.124811,0
652,2.124528,0
653,2.124246,0
654,2.123966,0
655,2.123687,0
656,2.12341,0
657,2.123134,0
658,2.12286,0
659,2.122587,0
660,2.122316,0
661,2.122046,0
662,2.121778,0
663,2.121511,0
664,2.121245,0
665,2.120981,0
666,2.120719,0
667,2.120458,0
668,2.120198,0
669,2.119939,0
670,2.119682,0
671,2.119426,0
672,2.119172,0
673,2.118919,0
674,2.118668,0
675,2.118417,0
676,2.118168,0
677,2.11792,0
678,2.117674,0
679,2.117429,0
680,2.117185,0
681,2.116942,0
682,2.116701,0
683,2.116461,0
684,2.116222,0
685,2.115984,0
686,2.115748,0
687,2.115513,0
688,2.115279,0
689,2.115046,0
690,2.114814,0
691,2.114584,0
692,2.114355,0
693,2.114126,0
694,2.113899,0
695,2.113674,0
696,2.113449,0
697,2.113225,0
698,2.113003,0
699,2.112782,0
700,2.112561,0
701,2.112342,0
702,2.112124,0
703,2.111907,0
704,2.111692,0
705,2.111477,0
706,2.111263,0
707,2.11105,0
708,2.110839,0
709,2.110628,0
710,2.110419,0
711,2.11021,0
712,2.110003,0
713,2.109796,0
714,2.109591,0
715,2.109386,0
716,2.109183,0
717,2.10898,0
718,2.108779,0
719,2.108578,0
720,2.108378,0
721,2.10818,0
722,2.107982,0
723,2.107785,0
724,2.107589,0
725,2.107395,0
726,2.107201,0
727,2.107008,0
728,2.106816,0
729,2.106624,0
730,2.106434,0
731,2.106245,0
732,2.106056,0
733,2.105869,0
734,2.105682,0
735,2.105496,0
736,2.105311,0
737,2.105127,0
738,2.104944,0
739,2.104761,0
740,2.104579,0
741,2.104399,0
742,2.104219,0
743,2.10404,0
744,2.103862,0
745,2.103684,0
746,2.103508,0
747,2.103332,0
748,2.103157,0
749,2.102983,0
750,2.102809,0
751,2.102636,0
752,2.102465,0
753,2.102293,0
754,2.102123,0
755,2.101954,0
756,2.101785,0
757,2.101617,0
758,2.10145,0
759,2.101283,0
760,2.101118,0
761,2.100953,0
762,2.100788,0
763,2.100625,0
764,2.100462,0
765,2.1003,0
766,2.100139,0
767,2.099978,0
768,2.099818,0
769,2.099659,0
770,2.0995,0
771,2.099343,0
772,2.099185,0
773,2.099029,0
774,2.098873,0
775,2.098718,0
776,2.098564,0
777,2.09841,0
778,2.098257,0
779,2.098104,0
780,2.097953,0
781,2.097802,0
782,2.097651,0
783,2.097502,0
784,2.097353,0
785,2.097204,0
786,2.097056,0
787,2.096909,0
788,2.096762,0
789,2.096616,0
790,2.096471,0
791,2.096326,0
792,2.096182,0
793,2.096039,0
794,2.095896,0
795,2.095754,0
796,2.095612,0
797,2.095471,0
798,2.09533,0
799,2.095191,0
800,2.095051,0
801,2.094913,0
802,2.094774,0
803,2.094637,0
804,2.0945,0
805,2.094363,0
806,2.094228,0
807,2.094092,0
808,2.093957,0
809,2.093823,0
810,2.09369,0
811,2.093557,0
812,2.093424,0
813,2.093292,0
814,2.093161,0
815,2.09303,0
816,2.0929,0
817,2.09277,0
818,2.09264,0
819,2.092512,0
820,2.092383,0
821,2.092256,0
822,2.092129,0
823,2.092002,0
824,2.091876,0
825,2.09175,0
826,2.091625,0
827,2.0915,0
828,2.091376,0
829,2.091253,0
830,2.091129,0
831,2.091007,0
832,2.090884,0
833,2.090763,0
834,2.090642,0
835,2.090521,0
836,2.090401,0
837,2.090281,0
838,2.090162,0
839,2.090043,0
840,2.089925,0
841,2.089807,0
842,2.089689,0
843,2.089572,0
844,2.089456,0
845,2.08934,0
846,2.089224,0
847,2.089109,0
848,2.088995,0
849,2.08888,0
850,2.088766,0
851,2.088653,0
852,2.08854,0
853,2.088428,0
854,2.088316,0
855,2.088204,0
856,2.088093,0
857,2.087982,0
858,2.087872,0
859,2.087762,0
860,2.087653,0
861,2.087544,0
862,2.087435,0
863,2.087327,0
864,2.087219,0
865,2.087112,0
866,2.087005,0
867,2.086898,0
868,2.086792,0
869,2.086686,0
870,2.086581,0
871,2.086476,0
872,2.086371,0
873,2.086267,0
874,2.086163,0
875,2.08606,0
876,2.085957,0
877,2.085854,0
878,2.085752,0
879,2.08565,0
880,2.085549,0
881,2.085448,0
882,2.085347,0
883,2.085247,0
884,2.085147,0
885,2.085047,0
886,2.084948,0
887,2.084849,0
888,2.084751,0
889,2.084653,0
890,2.084555,0
891,2.084457,0
892,2.08436,0
893,2.084264,0
894,2.084167,0
895,2.084071,0
896,2.083976,0
897,2.08388,0
898,2.083786,0
899,2.083691,0
900,2.083597,0
901,2.083503,0
902,2.083409,0
903,2.083316,0
904,2.083223,0
905,2.083131,0
906,2.083038,0
907,2.082947,0
908,2.082855,0
909,2.082764,0
910,2.082673,0
911,2.082582,0
912,2.082492,0
913,2.082402,0
914,2.082313,0
915,2.082223,0
916,2.082134,0
917,2.082046,0
918,2.081957,0
919,2.081869,0
920,2.081782,0
921,2.081694,0
922,2.081607,0
923,2.08152,0
924,2.081434,0
925,2.081348,0
926,2.081262,0
927,2.081176,0
928,2.081091,0
929,2.081006,0
930,2.080921,0
931,2.080837,0
932,2.080753,0
933,2.080669,0
934,2.080585,0
935,2.080502,0
936,2.08042,0
937,2.080337,0
938,2.080255,0
939,2.080172,0
940,2.080091,0
941,2.080009,0
942,2.079928,0
943,2.079847,0
944,2.079766,0
945,2.079686,0
946,2.079606,0
947,2.079526,0
948,2.079447,0
949,2.079367,0
950,2.079288,0
951,2.07921,0
952,2.079131,0
953,2.079053,0
954,2.078975,0
955,2.078897,0
956,2.07882,0
957,2.078743,0
958,2.078666,0
959,2.078589,0
960,2.078513,0
961,2.078437,0
962,2.078361,0
963,2.078285,0
964,2.07821,0
965,2.078135,0
966,2.07806,0
967,2.077985,0
968,2.077911,0
969,2.077837,0
970,2.077763,0
971,2.077689,0
972,2.077616,0
973,2.077543,0
974,2.07747,0
975,2.077397,0
976,2.077325,0
977,2.077253,0
978,2.077181,0
979,2.077109,0
980,2.077038,0
981,2.076967,0
982,2.076895,0
983,2.076825,0
984,2.076754,0
985,2.076684,0
986,2.076614,0
987,2.076544,0
988,2.076474,0
989,2.076405,0
990,2.076336,0
991,2.076267,0
992,2.076198,0
993,2.07613,0
994,2.076061,0
995,2.075994,0
996,2.075926,0
997,2.075858,0
998,2.075791,0
999,2.075724,0
1000,2.075657,0
1002.5,2.07549,0
1005,2.075325,0
1007.5,2.075161,0
1010,2.074999,0
1012.5,2.074838,0
1015,2.074678,0
1017.5,2.074519,0
1020,2.074362,0
1022.5,2.074206,0
1025,2.074051,0
1027.5,2.073897,0
1030,2.073744,0
1032.5,2.073593,0
1035,2.073443,0
1037.5,2.073294,0
1040,2.073146,0
1042.5,2.072999,0
1045,2.072853,0
1047.5,2.072709,0
1050,2.072565,0
1052.5,2.072423,0
1055,2.072282,0
1057.5,2.072141,0
1060,2.072002,0
1062.5,2.071864,0
1065,2.071727,0
1067.5,2.071591,0
1070,2.071456,0
1072.5,2.071322,0
1075,2.071189,0
1077.5,2.071057,0
1080,2.070926,0
1082.5,2.070796,0
1085,2.070666,0
1087.5,2.070538,0
1090,2.070411,0
1092.5,2.070284,0
1095,2.070159,0
1097.5,2.070034,0
1100,2.069911,0
1102.5,2.069788,0
1105,2.069666,0
1107.5,2.069545,0
1110,2.069425,0
1112.5,2.069305,0
1115,2.069187,0
1117.5,2.069069,0
1120,2.068953,0
1122.5,2.068837,0
1125,2.068722,0
1127.5,2.068607,0
1130,2.068494,0
1132.5,2.068381,0
1135,2.068269,0
1137.5,2.068158,0
1140,2.068047,0
1142.5,2.067938,0
1145,2.067829,0
1147.5,2.067721,0
1150,2.067613,0
1152.5,2.067507,0
1155,2.0674,0
1157.5,2.067295,0
1160,2.067191,0
1162.5,2.067087,0
1165,2.066984,0
1167.5,2.066881,0
1170,2.06678,0
1172.5,2.066679,0
1175,2.066578,0
1177.5,2.066479,0
1180,2.06638,0
1182.5,2.066281,0
1185,2.066184,0
1187.5,2.066087,0
1190,2.06599,0
1192.5,2.065894,0
1195,2.065799,0
1197.5,2.065705,0
1200,2.065611,0
1202.5,2.065517,0
1205,2.065425,0
1207.5,2.065333,0
1210,2.065241,0
1212.5,2.06515,0
1215,2.06506,0
1217.5,2.06497,0
1220,2.064881,0
1222.5,2.064793,0
1225,2.064705,0
1227.5,2.064617,0
1230,2.06453,0
1232.5,2.064444,0
1235,2.064358,0
1237.5,2.064273,0
1240,2.064188,0
1242.5,2.064104,0
1245,2.06402,0
1247.5,2.063937,0
1250,2.063855,0
1252.5,2.063772,0
1255,2.063691,0
1257.5,2.06361,0
1260,2.063529,0
1262.5,2.063449,0
1265,2.06337,0
1267.5,2.063291,0
1270,2.063212,0
1272.5,2.063134,0
1275,2.063056,0
1277.5,2.062979,0
1280,2.062902,0
1282.5,2.062826,0
1285,2.06275,0
1287.5,2.062675,0
1290,2.0626,0
1292.5,2.062526,0
1295,2.062452,0
1297.5,2.062378,0
1300,2.062305,0
1302.5,2.062233,0
1305,2.062161,0
