wl,n,k
2274,6.47E-01,1.56E+01
2282,6.51E-01,1.57E+01
2298,6.60E-01,1.58E+01
2307,6.65E-01,1.58E+01
2315,6.70E-01,1.59E+01
2323,6.74E-01,1.59E+01
2340,6.84E-01,1.61E+01
2348,6.89E-01,1.61E+01
2357,6.94E-01,1.62E+01
2365,6.98E-01,1.62E+01
2374,7.03E-01,1.63E+01
2383,7.09E-01,1.64E+01
2392,7.14E-01,1.64E+01
2409,7.24E-01,1.65E+01
2418,7.29E-01,1.66E+01
2427,7.35E-01,1.67E+01
2437,7.40E-01,1.67E+01
2446,7.46E-01,1.68E+01
2455,7.51E-01,1.69E+01
2464,7.57E-01,1.69E+01
2474,7.62E-01,1.70E+01
2483,7.68E-01,1.71E+01
2493,7.74E-01,1.71E+01
2502,7.80E-01,1.72E+01
2512,7.86E-01,1.73E+01
2522,7.92E-01,1.73E+01
2532,7.98E-01,1.74E+01
2542,8.04E-01,1.75E+01
2552,8.10E-01,1.75E+01
2562,8.16E-01,1.76E+01
2572,8.23E-01,1.77E+01
2582,8.29E-01,1.78E+01
2593,8.36E-01,1.78E+01
2603,8.42E-01,1.79E+01
2613,8.49E-01,1.80E+01
2624,8.55E-01,1.81E+01
2635,8.62E-01,1.81E+01
2645,8.69E-01,1.82E+01
2656,8.76E-01,1.83E+01
2667,8.83E-01,1.84E+01
2678,8.90E-01,1.84E+01
2689,8.98E-01,1.85E+01
2701,9.05E-01,1.86E+01
2712,9.12E-01,1.87E+01
2723,9.20E-01,1.87E+01
2735,9.28E-01,1.88E+01
2746,9.35E-01,1.89E+01
2758,9.43E-01,1.90E+01
2770,9.51E-01,1.91E+01
2782,9.59E-01,1.92E+01
2794,9.67E-01,1.92E+01
2806,9.75E-01,1.93E+01
2818,9.84E-01,1.94E+01
2830,9.92E-01,1.95E+01
2843,1.00E+00,1.96E+01
2855,1.01E+00,1.97E+01
2868,1.02E+00,1.98E+01
2881,1.03E+00,1.98E+01
2893,1.04E+00,1.99E+01
2906,1.05E+00,2.00E+01
2919,1.05E+00,2.01E+01
2933,1.06E+00,2.02E+01
2946,1.07E+00,2.03E+01
2959,1.08E+00,2.04E+01
2973,1.09E+00,2.05E+01
2987,1.10E+00,2.06E+01
3001,1.11E+00,2.07E+01
3015,1.12E+00,2.08E+01
3029,1.13E+00,2.09E+01
3043,1.14E+00,2.10E+01
3057,1.15E+00,2.11E+01
3072,1.16E+00,2.12E+01
3086,1.18E+00,2.13E+01
3101,1.19E+00,2.14E+01
3116,1.20E+00,2.15E+01
3131,1.21E+00,2.16E+01
3146,1.22E+00,2.17E+01
3162,1.23E+00,2.18E+01
3177,1.24E+00,2.19E+01
3193,1.26E+00,2.20E+01
3209,1.27E+00,2.21E+01
3224,1.28E+00,2.22E+01
3241,1.29E+00,2.23E+01
3257,1.31E+00,2.25E+01
3273,1.32E+00,2.26E+01
3290,1.33E+00,2.27E+01
3307,1.35E+00,2.28E+01
3324,1.36E+00,2.29E+01
3341,1.37E+00,2.30E+01
3358,1.39E+00,2.31E+01
3376,1.40E+00,2.33E+01
3393,1.41E+00,2.34E+01
3411,1.43E+00,2.35E+01
3429,1.44E+00,2.36E+01
3447,1.46E+00,2.38E+01
3466,1.47E+00,2.39E+01
3485,1.49E+00,2.40E+01
3503,1.51E+00,2.41E+01
3522,1.52E+00,2.43E+01
3542,1.54E+00,2.44E+01
3561,1.55E+00,2.45E+01
3581,1.57E+00,2.47E+01
3601,1.59E+00,2.48E+01
3621,1.61E+00,2.50E+01
3641,1.62E+00,2.51E+01
3662,1.64E+00,2.52E+01
3683,1.66E+00,2.54E+01
3704,1.68E+00,2.55E+01
3725,1.70E+00,2.57E+01
3746,1.72E+00,2.58E+01
3768,1.74E+00,2.60E+01
3790,1.76E+00,2.61E+01
3812,1.78E+00,2.63E+01
3835,1.80E+00,2.64E+01
3858,1.82E+00,2.66E+01
3881,1.84E+00,2.67E+01
3904,1.86E+00,2.69E+01
3928,1.88E+00,2.71E+01
3952,1.90E+00,2.72E+01
3976,1.93E+00,2.74E+01
4001,1.95E+00,2.76E+01
4026,1.97E+00,2.77E+01
4051,2.00E+00,2.79E+01
4076,2.02E+00,2.81E+01
4102,2.05E+00,2.82E+01
4128,2.07E+00,2.84E+01
4155,2.10E+00,2.86E+01
4181,2.13E+00,2.88E+01
4209,2.15E+00,2.90E+01
4236,2.18E+00,2.92E+01
4264,2.21E+00,2.93E+01
4292,2.24E+00,2.95E+01
4321,2.26E+00,2.97E+01
4350,2.29E+00,2.99E+01
4379,2.32E+00,3.01E+01
4409,2.36E+00,3.03E+01
4439,2.39E+00,3.05E+01
4470,2.42E+00,3.07E+01
4501,2.45E+00,3.10E+01
4532,2.48E+00,3.12E+01
4564,2.52E+00,3.14E+01
4597,2.55E+00,3.16E+01
4629,2.59E+00,3.18E+01
4663,2.62E+00,3.20E+01
4697,2.66E+00,3.23E+01
4731,2.70E+00,3.25E+01
4766,2.74E+00,3.27E+01
4801,2.78E+00,3.30E+01
4837,2.82E+00,3.32E+01
4873,2.86E+00,3.35E+01
4910,2.90E+00,3.37E+01
4947,2.94E+00,3.40E+01
4986,2.99E+00,3.42E+01
5024,3.03E+00,3.45E+01
5063,3.08E+00,3.47E+01
5103,3.12E+00,3.50E+01
5144,3.17E+00,3.53E+01
5185,3.22E+00,3.56E+01
5227,3.27E+00,3.58E+01
5269,3.32E+00,3.61E+01
5312,3.37E+00,3.64E+01
5356,3.43E+00,3.67E+01
5401,3.48E+00,3.70E+01
5446,3.54E+00,3.73E+01
5493,3.60E+00,3.76E+01
5539,3.66E+00,3.79E+01
5587,3.72E+00,3.82E+01
5636,3.78E+00,3.85E+01
5685,3.84E+00,3.89E+01
5736,3.91E+00,3.92E+01
5787,3.97E+00,3.95E+01
5839,4.04E+00,3.99E+01
5892,4.11E+00,4.02E+01
5946,4.18E+00,4.06E+01
6001,4.26E+00,4.10E+01
6057,4.33E+00,4.13E+01
6114,4.41E+00,4.17E+01
6173,4.49E+00,4.21E+01
6232,4.57E+00,4.25E+01
6292,4.66E+00,4.29E+01
6354,4.75E+00,4.33E+01
6417,4.83E+00,4.37E+01
6481,4.93E+00,4.41E+01
6547,5.02E+00,4.45E+01
6613,5.12E+00,4.49E+01
6682,5.22E+00,4.54E+01
6751,5.32E+00,4.58E+01
6822,5.42E+00,4.63E+01
6895,5.53E+00,4.68E+01
6969,5.65E+00,4.72E+01
7045,5.76E+00,4.77E+01
7122,5.88E+00,4.82E+01
7201,6.00E+00,4.87E+01
7282,6.13E+00,4.92E+01
7365,6.26E+00,4.98E+01
7450,6.39E+00,5.03E+01
7536,6.53E+00,5.09E+01
7625,6.67E+00,5.14E+01
7716,6.82E+00,5.20E+01
7809,6.97E+00,5.26E+01
7904,7.13E+00,5.32E+01
8001,7.29E+00,5.38E+01
8101,7.46E+00,5.44E+01
8204,7.63E+00,5.50E+01
8309,7.81E+00,5.57E+01
8417,8.00E+00,5.64E+01
8528,8.19E+00,5.71E+01
8642,8.39E+00,5.78E+01
8758,8.60E+00,5.85E+01
8878,8.81E+00,5.92E+01
9002,9.03E+00,6.00E+01
9128,9.26E+00,6.07E+01
9259,9.50E+00,6.15E+01
9393,9.75E+00,6.23E+01
9531,1.00E+01,6.32E+01
9673,1.03E+01,6.40E+01
9820,1.06E+01,6.49E+01
9971,1.08E+01,6.58E+01
10130,1.11E+01,6.67E+01
10290,1.15E+01,6.77E+01
10450,1.18E+01,6.86E+01
